spec,amount,percent
електроенергетика електротехніка та електромеханіка,1226,6.75
будівництво та цивільна інженерія,1092,6.02
середня освіта,981,5.40
галузеве машинобудування,798,4.40
агроінженерія,732,4.03
комп'ютерні науки,705,3.88
початкова освіта,649,3.57
прикладна механіка,615,3.39
фінанси банківська справа та страхування,519,2.86
агрономія,502,2.77
комп’ютерна інженерія,502,2.77
дошкільна освіта,499,2.75
автоматизація та комп’ютерно-інтегровані технології,474,2.61
телекомунікації та радіотехніка,472,2.60
харчові технології,410,2.26
професійна освіта,379,2.09
облік і оподаткування,365,2.01
транспортні технології,355,1.96
економіка,353,1.94
ветеринарна медицина,349,1.92
інженерія програмного забезпечення,337,1.86
технологія виробництва та переробки продукції тваринництва,321,1.77
гірництво,317,1.75
автомобільний транспорт,284,1.56
менеджмент,268,1.48
геодезія та землеустрій,232,1.28
залізничний транспорт,223,1.23
лісове господарство,202,1.11
хімічні технології та інженерія,196,1.08
фізична культура і спорт,178,0.98
маркетинг,161,0.89
теплоенергетика,156,0.86
металургія,153,0.84
кібербезпека,148,0.82
підприємництво торгівля та біржова діяльність,142,0.78
метрологія та інформаційно-вимірювальна техніка,139,0.77
енергетичне машинобудування,135,0.74
право,135,0.74
соціальна робота,129,0.71
електроніка,128,0.71
дизайн,124,0.68
технології легкої промисловості,121,0.67
екологія,113,0.62
авіаційна та ракетно-космічна техніка,109,0.60
річковий та морський транспорт,100,0.55
фізична терапія. ерготерапія,87,0.48
музичне мистецтво,86,0.47
медсестринство,85,0.47
образотворче мистецтво. декоративне мистецтво. реставрація,77,0.42
матеріалознавство,74,0.41
видавництво та поліграфія,72,0.40
садово-паркове господарство,71,0.39
архітектура та містобудування,68,0.37
науки про землю,68,0.37
нафтогазова інженерія та технології,68,0.37
комп’ютерні науки та інформаційні технології,58,0.32
інформаційна. бібліотечна та архівна справа,57,0.31
захист і карантин рослин,47,0.26
суднобудування,45,0.25
технології захисту навколишнього середовища,45,0.25
фармація промислова фармація,44,0.24
водні біоресурси та аквакультура,43,0.24
садівництво та виноградарство,42,0.23
системний аналіз,36,0.20
готельно-ресторанна справа,34,0.19
біологія,33,0.18
авіаційний транспорт,25,0.14
деревообробні та меблеві технології,24,0.13
інформаційні системи та технології,24,0.13
журналістика,22,0.12
мікро- та наносистемна техніка,22,0.12
машинобудування,20,0.11
спеціальна освіта,19,0.10
туризм,16,0.09
біомедична інженерія,15,0.08
технології медичної діагностики та лікування,15,0.08
авіоніка,13,0.07
програмна інженерія,12,0.07
будівництво,10,0.06
біотехнології та біоінженерія,9,0.05
системна інженерія,9,0.05
хореографія,9,0.05
цивільна безпека,9,0.05
електромеханіка,7,0.04
хімічна технологія,7,0.04
електротехніка та електротехнології,6,0.03
прикладна математика,6,0.03
прикладна фізика та наноматеріали,6,0.03
телекомунікації,6,0.03
фінанси і кредит,6,0.03
образотворче мистецтво,5,0.03
правознавство,5,0.03
фізична реабілітація,5,0.03
фізичне виховання,5,0.03
видавнича справа та редагування,4,0.02
інженерна механіка,4,0.02
пожежна безпека,4,0.02
екологія охорона навколишнього середовища та збалансоване природокористування,3,0.02
енергомашинобудування,3,0.02
культурологія,3,0.02
математика,3,0.02
радіотехніка,3,0.02
соціальна педагогіка,3,0.02
суднобудування та океанотехніка,3,0.02
книгознавство. бібліотекознавство і бібліографія,2,0.01
мікро- та наноелектроніка,2,0.01
сценічне мистецтво,2,0.01
харчові технології та інженерія,2,0.01
геодезія. картографія та землеустрій,1,0.01
електронні пристрої та системи,1,0.01
захист рослин,1,0.01
інженерне матеріалознавство,1,0.01
міжнародне право,1,0.01
облік і аудит,1,0.01
охорона праці,1,0.01
рухомий склад залізниць,1,0.01